X,Y,business_id,account_name,dba,street_address,zip_code,group_,type,subtype,statute,number,status,ownership_transferable,location_transferable,ObjectId
-83.18352288,42.41660108,1129,"TERESA'S PLACE, INC.",TERESA'S PLACE,14020 W McNichols Rd,48235,Retail - On Premises,Class C,Regular,,L-000001757,Active,Y,Y,1
-82.9456628,42.38479095,95,"YE OLDE TAP ROOM, INC.",YE OLDE TAP ROOM,14915 Charlevoix St,48215,Retail - On Premises,Class C,Regular,,L-000000147,Active,Y,Y,2
-82.9456628,42.38479095,95,"YE OLDE TAP ROOM, INC.",YE OLDE TAP ROOM,14915 Charlevoix St,48215,Retail - Off Premises,Specially Designated Merchant,,MCL 436.1533(5)(a),L-000404338,Active,Y,N,3
-83.11661666,42.3596474,160,"HENDRIX, LOUIS J",LOUIE'S COCKTAIL LOUNGE,8053 Grand River Ave,48204,Retail - On Premises,Class C,Regular,,L-000000251,Active,Y,Y,4
-83.08464112,42.32344127,254,DOS MAS GALANES CORPORATION,DOS MAS GALANES,3362 Bagley St,48216,Retail - On Premises,Class C,Regular,,L-000000398,Active,Y,Y,5
-83.142934,42.33093244,302,"MANNECORP, INC.",THE HORSE,8140 Michigan Ave,48210,Retail - On Premises,Class C,Regular,,L-000000470,Active,Y,Y,6
-83.04217195,42.33532113,381,"GOLDEN FLEECE, INC.",GOLDEN FLEECE,525 Monroe St,48226,Retail - On Premises,Class C,Regular,,L-000000586,Active,Y,Y,7
-83.04217195,42.33532113,381,"GOLDEN FLEECE, INC.",GOLDEN FLEECE,525 Monroe St,48226,Retail - Off Premises,Specially Designated Merchant,,,L-000018588,Active,Y,Y,8
-83.06544882,42.33172046,484,"PVT, INC.",NEMO'S BAR,1384 Michigan Ave,48226,Retail - On Premises,Class C,Regular,,L-000000744,Active,Y,Y,9
-83.09493705,42.42548772,528,"I.P. ENTERPRISES, INC.",INUENDO,744 E Savannah St,48203,Retail - On Premises,Class C,Regular,,L-000000817,Active,Y,Y,10
-83.09493705,42.42548772,528,"I.P. ENTERPRISES, INC.",INUENDO,744 E Savannah St,48203,Retail - Off Premises,Specially Designated Merchant,,,L-000018303,Active,Y,Y,11
-82.93791294,42.40304943,546,"BARNES, JAMES H",CLUB MED,16394 E Warren Ave,48224,Retail - On Premises,Class C,Regular,,L-000000848,Active,Y,Y,12
-83.22088616,42.37222718,571,"B.E. SAAD, INC.",STARTER'S BAR & GRILL,18434 Plymouth Rd,48228,Retail - On Premises,Class C,Regular,,L-000000885,Active,Y,Y,13
-83.08541677,42.32308998,670,W. C. D. INC.,MEXICAN TOWN,3457 Bagley St,48216,Retail - On Premises,Class C,Regular,,L-000001054,Active,Y,Y,14
-83.00421699,42.41958664,702,"ANDERSON, JOSEPHINE L & ANDERSON, JOSEPH",PPH LOUNGE,11526 Portlance St,48205,Retail - On Premises,Class C,Regular,,L-000001103,Active,Y,Y,15
-83.0594277,42.34881789,710,"DETROIT SYMPHONY ORCHESTRA, INC.",DETROIT SYMPHONY ORCHESTRA HALL,3711 Woodward Ave,48201,Retail - On Premises,Class C,Regular,,L-000001113,Active,Y,Y,16
-83.10162811,42.41993137,796,"DAKOTA INN, INC.",DAKOTA INN,17324 John R St,48203,Retail - On Premises,Class C,Regular,,L-000001250,Active,Y,Y,17
-83.04482207,42.33427224,964,"NEDA, HILDA",TED'S CAFE,1234 Randolph St,48226,Retail - On Premises,Class C,Regular,,L-000001510,Active,Y,Y,18
-83.27487696,42.3868464,1004,"LA CHAMBRE LOUNGE, INC.",LA CHAMBRE,14100 Telegraph Rd,48239,Retail - On Premises,Class C,Regular,,L-000001572,Escrow,Y,Y,19
-83.05140613,42.32519038,1048,"OLYMPIA ENTERTAINMENT, INC.",JOE LOUIS ARENA,600 Civic Center Dr,48226,Retail - On Premises,Class C,Regular,,L-000001635,Escrow,Y,Y,20
-83.09478945,42.3208962,1065,"OMAR'S MEXICAN RESTAURANT, INC.",OMAR'S MEXICAN RESTAURANT,4242 W Vernor Hwy,48209,Retail - On Premises,Class C,Regular,,L-000001656,Active,Y,Y,21
-83.09478945,42.3208962,1065,"OMAR'S MEXICAN RESTAURANT, INC.",OMAR'S MEXICAN RESTAURANT,4242 W Vernor Hwy,48209,Retail - Off Premises,Specially Designated Merchant,,,L-000018675,Active,Y,Y,22
-83.24474886,42.35713345,1128,"B.M.G., INCORPORATED",B.M.G. BAR & GRILL,20809 Joy Rd,48228,Retail - On Premises,Class C,Regular,,L-000001756,Escrow,Y,Y,23
-83.13896793,42.33138349,1144,"SASSIN, BEVERLY J",CAS BAR,7800 Michigan Ave,48210,Retail - On Premises,Class C,Regular,,L-000001778,Active,Y,Y,24
-83.19316994,42.22772454,1172,"AMBERN ENTERPRISES, INC.",REDDY'S SALOON,1846 Michigan Ave,48216,Retail - On Premises,Class C,Regular,,L-000001828,Escrow,Y,Y,25
-83.19316994,42.22772454,1172,"AMBERN ENTERPRISES, INC.",REDDY'S SALOON,1846 Michigan Ave,48216,Retail - Off Premises,Specially Designated Merchant,,,L-000012840,Escrow,Y,Y,26
-83.28550952,42.41399507,1474,"NITE CAP LOUNGE, INC.",NITE CAP BAR,24817 W McNichols Rd,48219,Retail - On Premises,Class C,Regular,,L-000002338,Active,Y,Y,27
-83.28550952,42.41399507,1474,"NITE CAP LOUNGE, INC.",NITE CAP BAR,24817 W McNichols Rd,48219,Retail - Off Premises,Specially Designated Merchant,,,L-000005845,Active,Y,Y,28
-82.97338695,42.35567953,1493,"THE ROOSTERTAIL, INCORPORATED",ROOSTERTAIL,100 Marquette Dr,48214,Retail - On Premises,Class C,Regular,,L-000002367,Active,Y,Y,29
-82.97338695,42.35567953,1493,"THE ROOSTERTAIL, INCORPORATED",ROOSTERTAIL,100 Marquette Dr,48214,Retail - Off Premises,Specially Designated Merchant,,,L-000005670,Active,Y,Y,30
-82.99195542,42.40023235,1497,"CLUB LA POSSE, INC.",CLUB LA POSSE,9458 Conner St,48213,Retail - On Premises,Class C,Regular,,L-000002371,Escrow,Y,Y,31
-83.10245853,42.44390646,1646,"CENTERFOLD, INC.",CENTERFOLD LOUNGE,20226 John R St,48203,Retail - On Premises,Class C,Regular,,L-000002585,Active,Y,Y,32
-83.05272771,42.33896231,1802,"OLYMPIA ENTERTAINMENT, INC.",,2301 Woodward Ave,48201,Retail - On Premises,Class C,Regular,,L-000002818,Escrow,Y,Y,33
-83.03905959,42.36859121,1904,"IVANHOE CAFE, INC.",IVANHOE CAFE,5249 Joseph Campau St,48211,Retail - On Premises,Class C,Regular,,L-000002967,Active,Y,Y,34
-83.12101904,42.36111006,2055,"STEVE'S DELICATESSEN & RESTAURANT, INC.",,8447 Grand River Ave,48204,Retail - On Premises,Class C,Regular,,L-000003199,Escrow,Y,Y,35
-83.12354048,42.30599297,2106,"DICHELLS, INC.",CHARLIE'S BAR,1503 Springwells St,48209,Retail - On Premises,Class C,Regular,,L-000003270,Active,Y,Y,36
-83.12354048,42.30599297,2106,"DICHELLS, INC.",CHARLIE'S BAR,1503 Springwells St,48209,Retail - Off Premises,Specially Designated Merchant,,,L-000005359,Active,Y,Y,37
-83.15581523,42.27496443,2155,"PERFECT BEAT, INC.",PERFECT BEAT,1941 S Fort St,48217,Retail - On Premises,Class C,Regular,,L-000003341,Active,Y,Y,38
-83.02385401,42.43277494,2165,"LLOYD, GERALD",C-NOTE LOUNGE,18914 Van Dyke St,48234,Retail - On Premises,Class C,Regular,,L-000003353,Active,Y,Y,39
-83.15497152,42.35202723,2200,DEB'S INCORPORATED,DEB'S PLACE,8748 Tireman St,48204,Retail - On Premises,Class C,Regular,,L-000003402,Active,Y,Y,40
-83.15497152,42.35202723,2200,DEB'S INCORPORATED,DEB'S PLACE,8748 Tireman St,48204,Retail - Off Premises,Specially Designated Merchant,,MCL 436.1533(5)(a),L-000435212,Active,Y,N,41
-83.07552248,42.33166101,2277,"JONES, ROBERT LEE",L.J.'S SWEETHART BAR,2114 Michigan Ave,48216,Retail - On Premises,Class C,Regular,,L-000003504,Active,Y,Y,42
-83.22976201,42.38635608,2417,"SARCEVICH, VOJKA VICKY",VICKI'S BAR,19205 Schoolcraft,48223,Retail - On Premises,Class C,Regular,,L-000003701,Active,Y,Y,43
-83.0648604,42.35350308,2452,"CASS CAFE, INC.",CASS CAFE,4620 Cass Ave,48201,Retail - On Premises,Class C,Regular,,L-000003753,Active,Y,Y,44
-83.0648604,42.35350308,2452,"CASS CAFE, INC.",CASS CAFE,4620 Cass Ave,48201,Retail - Off Premises,Specially Designated Merchant,,MCL 436.1533(5)(a),L-000436661,Active,Y,N,45
-83.03873995,42.34609275,2478,"VIVIOS, INC.",MARKET CENTER CLUB,2460 Market St,48207,Retail - On Premises,Class C,Regular,,L-000003795,Active,Y,Y,46
-83.17957662,42.40735836,2504,C - LARC CORPORATION,SUITE 100,15789 Schaefer Hwy,48227,Retail - On Premises,Class C,Regular,,L-000003831,Active,Y,Y,47
-83.06624294,42.40986304,2544,"ZACNY, STANLEY",WITCHCRAFT KRAKUS BAR AND RESTAURANT,12900 Joseph Campau St,48212,Retail - On Premises,Class C,Regular,,L-000003897,Active,Y,Y,48
-83.13684724,42.33088493,2710,"MARCEVSKI, BOSKO S",ALASKAN BAR,7627 Michigan Ave,48210,Retail - On Premises,Class C,Regular,,L-000004163,Active,Y,Y,49
-83.27739283,42.41306808,2916,"H.K. COMPANY, INC.",SUN CHINA RESTAURANT,16921 Telegraph Rd,48219,Retail - On Premises,Class C,Regular,,L-000004469,Active,Y,Y,50
-83.06600634,42.34613702,3099,JUMBO'S BAR INC.,JUMBO'S BAR,3736 3rd St,48201,Retail - On Premises,Class C,Regular,,L-000004753,Active,Y,Y,51
-83.04194749,42.36692164,3130,"STEPHENS, TOMMIE L",RAVEN LOUNGE,5145 Chene St,48211,Retail - On Premises,Class C,Regular,,L-000004803,Active,Y,Y,52
-83.12279942,42.30488491,3135,"VINCE'S ITALIAN RESTAURANT & PIZZERIA, INC.",VINCE'S PIZZERIA,1341 Springwells St,48209,Retail - On Premises,Class C,Regular,,L-000004813,Escrow,Y,Y,53
-83.12279942,42.30488491,3135,"VINCE'S ITALIAN RESTAURANT & PIZZERIA, INC.",VINCE'S PIZZERIA,1341 Springwells St,48209,Retail - Off Premises,Specially Designated Merchant,,,L-000007548,Escrow,Y,Y,54
-82.97382236,42.35776871,3243,SINDBADS INC.,SINDBAD'S,100 Saint Clair St,48214,Retail - On Premises,Class C,Regular,,L-000004973,Active,Y,Y,55
-82.97382236,42.35776871,3243,SINDBADS INC.,SINDBAD'S,100 Saint Clair St,48214,Retail - Off Premises,Specially Designated Merchant,,,L-000008669,Active,Y,Y,56
-83.07205961,42.3689746,5499,WOODWARD COCKTAIL LOUNGE INC.,THE WOODWARD BAR,6426 Woodward Ave,48202,Retail - On Premises,Class C,Regular,,L-000008407,Active,Y,Y,57
-83.1073382,42.321473,5539,"VEGA, DANIEL",BLUE DIAMOND LOUNGE,2453 Campbell St,48209,Retail - On Premises,Class C,Regular,,L-000008462,Active,Y,Y,58
-83.08517292,42.34567227,5679,"FORMAN, BRENDA J",ICICLES,4453 14th St,48208,Retail - On Premises,Class C,Regular,,L-000008680,Escrow,Y,Y,59
-83.04679985,42.3385491,5716,THE ELWOOD CORPORATION,THE ELWOOD BAR & GRILL,300 E Adams Ave,48226,Retail - On Premises,Class C,Regular,,L-000008748,Active,Y,Y,60
-83.05402727,42.33821631,5751,"HARRINGTON, INC.",THE TOWN PUMP TAVERN,100 W Montcalm St,48201,Retail - On Premises,Class C,Regular,,L-000008805,Escrow,Y,Y,61
-83.04172409,42.33166607,5855,"KSJC ENTERPRISES, INC.",SWEETWATER TAVERN,400 E Congress St,48226,Retail - Off Premises,Specially Designated Merchant,,,L-000005498,Active,Y,Y,62
-83.04172409,42.33166607,5855,"KSJC ENTERPRISES, INC.",SWEETWATER TAVERN,400 E Congress St,48226,Retail - On Premises,Class C,Regular,,L-000008959,Active,Y,Y,63
-83.03102523,42.37670962,6153,"R.A.R.D., INC.",EL CAPRI,1673 E Grand Blvd,48211,Retail - On Premises,Class C,Regular,,L-000009476,Active,Y,Y,64
-82.94409976,42.41108184,6154,"I-ROCK NIGHTCLUB, INC.",I-ROCK NIGHTCLUB,16360 Harper Ave,48224,Retail - On Premises,Class C,Regular,,L-000009478,Active,Y,Y,65
-83.06571061,42.3503343,6200,"MARIO'S RESTAURANT, INC.",MARIO'S,4222 2nd Ave,48201,Retail - On Premises,Class C,Regular,,L-000009554,Active,Y,Y,66
-83.06571061,42.3503343,6200,"MARIO'S RESTAURANT, INC.",MARIO'S,4222 2nd Ave,48201,Retail - Off Premises,Specially Designated Merchant,,,L-000014838,Active,Y,Y,67
-83.06968216,42.36647662,6363,"Z'S PLACE II, INC.",OLDE VILLA,42 Piquette St,48202,Retail - On Premises,Class C,Regular,,L-000009834,Active,Y,Y,68
-82.97367654,42.44055151,6431,"JANINA J., INC.",CAPERS,14726 Gratiot Ave,48205,Retail - On Premises,Class C,Regular,,L-000009954,Active,Y,Y,69
-82.97367654,42.44055151,6431,"JANINA J., INC.",CAPERS,14726 Gratiot Ave,48205,Retail - Off Premises,Specially Designated Merchant,,MCL 436.1533(5)(a),L-000435841,Active,Y,N,70
-83.0414095,42.32948265,6487,"RIVERFRONT HOLDINGS, INC. (A DELAWARE CORPORATION) & DETROIT HOTEL SERVICES, LLC (A DELAWARE LIMITED LIABILITY COMPANY)",DETROIT MARRIOTT AT RENAISSANCE CENTER,Renaissance Center,48234,Retail - On Premises,B-Hotel,Regular,,L-000030248,Active,Y,Y,71
-83.0414095,42.32948265,6487,"RIVERFRONT HOLDINGS, INC. (A DELAWARE CORPORATION) & DETROIT HOTEL SERVICES, LLC (A DELAWARE LIMITED LIABILITY COMPANY)",DETROIT MARRIOTT AT RENAISSANCE CENTER,Renaissance Center,48234,Retail - Off Premises,Specially Designated Merchant,,,L-000124913,Active,Y,Y,72
-82.91086173,42.41708222,6681,"NATIONAL CONEY ISLAND, INC.",NATIONAL CONEY ISLAND,19019 Mack Ave,48236,Retail - On Premises,Tavern,Regular,,L-000000012,Active,Y,Y,73
-83.0484358,42.33150507,6718,"LAFAYETTE ENTERPRISES, INC.",LAFAYETTE CONEY ISLAND,118 W Lafayette Blvd,48226,Retail - On Premises,Tavern,Regular,,L-000000132,Active,Y,Y,74
-82.97365903,42.34890147,8051,THE DETROIT YACHT CLUB,DETROIT YACHT CLUB,1 Riverbank Rd,48207,Non-Profit,Club,,,L-000020015,Active,N,Y,75
-83.07114946,42.3316301,8055,"MALTESE AM. BEN. SOCIETY, INC.","MALTESE AM. BEN. SOCIETY, INC.",1832 Michigan Ave,48216,Non-Profit,Club,,,L-000020020,Active,N,Y,76
-82.95244725,42.35585701,8086,BAYVIEW YACHT CLUB,BAYVIEW YACHT CLUB,100 Clairpointe St,48215,Retail - Off Premises,Specially Designated Merchant,,,L-000000402,Active,Y,Y,77
-82.95244725,42.35585701,8086,BAYVIEW YACHT CLUB,BAYVIEW YACHT CLUB,100 Clairpointe St,48215,Non-Profit,Club,,,L-000020058,Active,N,Y,78
-83.04733588,42.33759629,8089,DETROIT ATHLETIC CLUB,DETROIT ATHLETIC CLUB,241 Madison St,48226,Retail - Off Premises,Specially Designated Merchant,,,L-000003017,Active,Y,Y,79
-83.04733588,42.33759629,8089,DETROIT ATHLETIC CLUB,DETROIT ATHLETIC CLUB,241 Madison St,48226,Non-Profit,Club,,,L-000020063,Active,N,Y,80
-83.12705078,42.42683282,8093,DETROIT GOLF CLUB,DETROIT GOLF CLUB,17911 Hamilton Rd,48203,Non-Profit,Club,,,L-000020069,Active,N,Y,81
-83.06281932,42.35951917,8116,THE SCARAB CLUB,THE SCARAB CLUB,217 Farnsworth St,48202,Non-Profit,Club,,,L-000020103,Active,N,Y,82
-83.06281932,42.35951917,8116,THE SCARAB CLUB,THE SCARAB CLUB,217 Farnsworth St,48202,Retail - Off Premises,Specially Designated Merchant,,MCL 436.1533(5)(a),L-000400962,Active,Y,N,83
-83.03130018,42.33383973,8128,YONDOTEGA CLUB,YONDOTEGA CLUB,1450 E Jefferson Ave,48207,Non-Profit,Club,,,L-000020117,Active,N,Y,84
-83.12981844,42.32977216,8130,KNIGHTS OF COLUMBUS HOLY CROSS COUNCIL #2739,KNIGHTS OF COLUMBUS HOLY CROSS COUNCIL #2739,4391 Larkins St,48210,Non-Profit,Club,,,L-000020121,Active,N,Y,85
-82.96779569,42.3682465,8170,EDISON BOAT CLUB,EDISON BOAT CLUB,Lycaste St,48214,Retail - Off Premises,Specially Designated Merchant,,,L-000006551,Active,Y,Y,86
-82.96779569,42.3682465,8170,EDISON BOAT CLUB,EDISON BOAT CLUB,Lycaste St,48214,Non-Profit,Club,,,L-000020169,Active,N,Y,87
-83.05091618,42.32568429,8252,DETROIT RACQUET CLUB,DETROIT RACQUET CLUB,626 Woodbridge St,48226,Non-Profit,Club,,,L-000020263,Active,N,Y,88
