Inspection_ID,Establishment_ID,Name,Inspection_Date,Inspection_Type,Inspector_ID,Priority_Violations,Foundation_Violations,Core_Violations,Total_Corrected_Priority___Foun,In_Compliance,ObjectId
53247,1006,John Nichols Elementary,2020/10/30 00:00:00+00,Routine Inspection,133,0,0,2,,Yes,1
52682,51622672,Cork & Gabel,2020/09/10 00:00:00+00,Routine Inspection,87,0,0,2,,Yes,2
52916,3865,Monte Bello Pizzeria,2020/10/01 00:00:00+00,Routine Inspection,142,0,1,3,,Yes,3
53241,1030,Carstens at Remus Robinson School,2020/10/29 00:00:00+00,Routine Inspection,87,0,0,3,,Yes,4
53223,5213,Embassy,2020/10/29 00:00:00+00,Routine Inspection,126,0,1,0,,Yes,5
53222,701,Peking Chinese Restaurant,2020/10/29 00:00:00+00,Routine Inspection,126,0,1,0,,Yes,6
53242,4233,St. Charles,2020/10/29 00:00:00+00,Routine Inspection,87,0,0,2,,Yes,7
53218,4811,Bucharest Grill Piquette,2020/10/28 00:00:00+00,Routine Inspection,146,0,1,0,,No,8
53238,51623324,Burgertime,2020/10/28 00:00:00+00,Routine Inspection,87,0,0,4,,Yes,9
53227,844,Carleton Elementary School,2020/10/28 00:00:00+00,Routine Inspection,126,0,0,1,,Yes,10
53225,483,Dakota Inn Inc,2020/10/28 00:00:00+00,Routine Inspection,126,0,1,0,,No,11
53215,869,Ludington Magnet Middle School (5-8),2020/10/28 00:00:00+00,Routine Inspection,127,0,1,0,,Yes,12
53240,894,Martin Luther King High School,2020/10/28 00:00:00+00,Routine Inspection,87,0,0,1,,Yes,13
53213,415,Popeye's Lousiana Kitchen,2020/10/28 00:00:00+00,Routine Inspection,127,0,0,1,,Yes,14
53230,51623107,Checker's Drive Inn Resturant,2020/10/27 00:00:00+00,Routine Inspection,126,0,0,2,,Yes,15
53219,2006,Subway,2020/10/27 00:00:00+00,Routine Inspection,146,1,0,0,,Yes,16
53206,1076,Franklin Wright Settlement,2020/10/26 00:00:00+00,Routine Inspection,87,0,0,2,,Yes,17
53188,3391,Bethany Lutheran Church,2020/10/23 00:00:00+00,Routine Inspection,87,0,0,1,,Yes,18
53234,1985,Food Exchange (Harvey's Fabulous Foods),2020/10/23 00:00:00+00,Routine Inspection,126,0,0,1,,Yes,19
53186,51622606,Founders Brewing Company,2020/10/23 00:00:00+00,Routine Inspection,138,0,1,0,,Yes,20
53189,4537,Govinda's at the Fisher Mansion,2020/10/23 00:00:00+00,Routine Inspection,87,0,0,2,,Yes,21
53169,4766,Marquette Elementary (Main Building),2020/10/22 00:00:00+00,Routine Inspection,126,0,0,3,,Yes,22
53170,1116,Marquette Elementary School (Annex),2020/10/22 00:00:00+00,Routine Inspection,126,0,0,1,,Yes,23
53199,235,Traffic Jam-Snug,2020/10/22 00:00:00+00,Routine Inspection,139,0,1,1,,Yes,24
53200,4657,Traffic Jam-Snug/Bakery,2020/10/22 00:00:00+00,Routine Inspection,139,0,0,1,,Yes,25
53173,3321,Brenda Scott Middle School,2020/10/21 00:00:00+00,Routine Inspection,126,0,0,2,,Yes,26
53209,3598,Cass Technical High School,2020/10/21 00:00:00+00,Routine Inspection,124,1,0,0,,Yes,27
53163,5429,Hungry House,2020/10/21 00:00:00+00,Routine Inspection,87,0,0,2,,Yes,28
53155,4000,Motor City Casino - Room Svce,2020/10/21 00:00:00+00,Routine Inspection,124,1,0,0,,Yes,29
53171,5249,Motown Cafe Grill,2020/10/21 00:00:00+00,Routine Inspection,126,0,0,2,,Yes,30
53157,3821,Shabazz East Restaurant,2020/10/21 00:00:00+00,Routine Inspection,87,1,0,2,,Yes,31
53153,806,King David Grand Lodge,2020/10/20 00:00:00+00,Routine Inspection,124,0,0,2,,Yes,32
53156,51623318,Ziggy's Bar & Grill,2020/10/20 00:00:00+00,Routine Inspection,87,0,1,5,,No,33
53197,5235,Hook Fresh Fish & Chicken LLC,2020/10/19 00:00:00+00,Routine Inspection,139,0,0,2,,Yes,34
53147,2861,Jeanie's Lounge,2020/10/19 00:00:00+00,Routine Inspection,87,0,1,2,,Yes,35
53146,2593,Moses Field School,2020/10/19 00:00:00+00,Routine Inspection,87,0,0,2,,Yes,36
53145,4847,Motor City Casino - Food/Beverage Cart,2020/10/19 00:00:00+00,Routine Inspection,87,0,0,1,,Yes,37
53139,51622592,1509 Populace LLC,2020/10/16 00:00:00+00,Routine Inspection,131,1,1,1,,No,38
53140,5152,Ashe Supply Co.,2020/10/16 00:00:00+00,Routine Inspection,131,1,1,0,,No,39
53174,664,Chandler Park Golf Course,2020/10/16 00:00:00+00,Routine Inspection,126,1,0,2,,Yes,40
53176,4932,Dove Academy of Detroit,2020/10/16 00:00:00+00,Routine Inspection,126,0,0,1,,Yes,41
53098,1444,Ford Patio Bar & Grill (Mustang),2020/10/16 00:00:00+00,Routine Inspection,112,0,0,1,,Yes,42
53137,51622842,HMWW Food LLC dba Karl's The Siren ,2020/10/16 00:00:00+00,Routine Inspection,131,0,1,1,,No,43
53107,51623295,McDonalds #25735,2020/10/16 00:00:00+00,Complaint,87,0,0,1,,Yes,44
53113,51623235,Motor City Casino - FanDuel Sportsbook,2020/10/16 00:00:00+00,Routine Inspection,124,0,2,1,,Yes,45
53235,940,Osborn Senior High School,2020/10/16 00:00:00+00,Routine Inspection,126,0,0,1,,Yes,46
52988,51623284,Pryor's Fine Foods,2020/10/01 00:00:00+00,Routine Inspection,126,1,2,0,,Yes,47
53175,940,Osborn Senior High School,2020/10/16 00:00:00+00,Routine Inspection,126,0,0,1,,Yes,48
52683,3317,Detroit Enterprise Academy,2020/09/10 00:00:00+00,Routine Inspection,87,0,1,0,,Yes,49
52928,51622881,Shinola Hotel- San Morello,2020/10/01 00:00:00+00,Routine Inspection,131,2,1,1,,Yes,50
53093,4953,"The Red Hook, Detroit, LLC",2020/10/16 00:00:00+00,Routine Inspection,87,0,0,1,,Yes,51
52747,51622720,Durdens Catering LLC,2020/09/10 00:00:00+00,Routine Inspection,141,1,0,1,,Yes,52
52929,51622702,Shinola Hotel- WW Basement Kitchen,2020/10/01 00:00:00+00,Routine Inspection,131,0,1,0,,Yes,53
53099,1933,Warrendale Academy,2020/10/16 00:00:00+00,Routine Inspection,112,0,0,1,,Yes,54
53091,4765,"Detroit Vegan Soul, LLC",2020/10/15 00:00:00+00,Routine Inspection,87,0,1,3,,Yes,55
53097,5414,Eatori Market,2020/10/15 00:00:00+00,Routine Inspection,124,2,0,2,,Yes,56
53127,2312,Taqueria La Salsa Mexican Cuisine,2020/10/15 00:00:00+00,Routine Inspection,140,1,1,2,,Yes,57
52684,51622576,Gingerberry LLC,2020/09/10 00:00:00+00,Routine Inspection,87,0,0,3,,Yes,58
52824,719,L. George Coney Island #7,2020/09/10 00:00:00+00,Routine Inspection,112,0,3,0,,Yes,59
52738,1278,Onasis Coney Island ,2020/09/10 00:00:00+00,Routine Inspection,142,0,1,1,,No,60
52703,2049,Popeye's Chicken & Biscuits,2020/09/10 00:00:00+00,Routine Inspection,126,0,1,2,,No,61
52698,1128,Royal Grill,2020/09/10 00:00:00+00,Routine Inspection,139,0,1,1,,Yes,62
52685,513,Subway Harbortown Detroit,2020/09/10 00:00:00+00,Routine Inspection,87,0,1,0,,Yes,63
52822,51623219,Vitamin Juice,2020/09/10 00:00:00+00,Routine Inspection,112,0,1,1,,Yes,64
52722,5140,Basement Burger Bar,2020/09/09 00:00:00+00,Routine Inspection,131,0,0,1,,Yes,65
52766,4838,Bread Basket Deli,2020/09/09 00:00:00+00,Routine Inspection,127,1,0,0,,Yes,66
52767,5196,Captain Jay's Fish & Chicken #113,2020/09/09 00:00:00+00,Routine Inspection,127,0,0,3,,Yes,67
52680,2317,Detroit Merit Academy,2020/09/09 00:00:00+00,Routine Inspection,87,0,0,3,,Yes,68
52749,1953,Main Street Grill and Coney Island,2020/09/09 00:00:00+00,Routine Inspection,131,3,2,4,,No,69
52720,1953,Main Street Grill and Coney Island,2020/09/09 00:00:00+00,Routine Inspection,131,3,2,4,,No,70
52672,1075,Omega Coney Island,2020/09/09 00:00:00+00,Routine Inspection,112,1,1,1,,Yes,71
52700,5410,Papa Joe's Gourmet Market Henry Ford LLC,2020/09/09 00:00:00+00,Routine Inspection,139,0,1,0,,Yes,72
52699,597,Subway #53184,2020/09/09 00:00:00+00,Routine Inspection,139,1,0,0,,Yes,73
52681,5113,Takoi,2020/09/09 00:00:00+00,Routine Inspection,87,0,0,4,,Yes,74
52768,1003,T & J Coney Island,2020/09/09 00:00:00+00,Complaint,127,1,0,1,,Yes,75
52717,1618,Bai Mai Thai Lafayette,2020/09/08 00:00:00+00,Routine Inspection,131,2,0,2,,Yes,76
52716,449,Clique Restaurant,2020/09/08 00:00:00+00,Routine Inspection,131,2,0,4,,Yes,77
