number_of_lanes,fatal_count,young,deer,lighting,occupants,road_condition,speed_limit,hour,hit_and_run,most_severe_injury,red_light_running,weekday,highway_classification,crash_type,weather,alcohol,drug
2,0,0,0,1,2,4,25,13,0,5,0,3,9,4,2,0,0
0,0,0,0,1,3,3,0,9,0,5,0,4,9,4,1,0,0
2,0,0,0,1,0,4,30,8,1,5,0,6,9,5,2,0,0
2,0,0,0,1,3,1,25,15,1,5,0,6,9,8,1,0,0
1,0,0,0,1,1,3,55,16,0,5,0,5,3,1,5,0,0
3,0,0,0,1,1,4,55,11,1,5,0,3,3,8,1,0,0
3,0,1,0,1,4,1,30,12,0,5,0,7,9,4,1,0,0
4,0,1,0,1,7,1,30,15,1,4,0,4,9,4,2,0,0
1,0,0,0,4,1,6,55,6,0,5,0,2,3,1,5,0,0
3,0,0,0,1,5,3,55,8,0,3,0,2,3,9,2,0,0
2,0,0,0,4,1,4,0,21,1,5,0,3,3,4,5,0,0
4,0,1,0,1,1,4,70,11,0,5,0,5,1,1,1,0,0
3,0,1,0,1,2,1,55,12,0,4,0,6,3,5,2,0,0
2,0,0,0,4,5,1,55,7,0,4,0,3,1,5,1,0,0
5,0,0,0,3,2,1,30,22,0,5,0,7,9,5,1,0,0
3,0,0,0,4,2,2,55,18,1,5,0,6,1,5,5,1,0
4,0,0,0,1,2,4,70,13,0,4,0,7,1,8,5,0,0
2,0,1,0,4,4,3,25,22,0,4,0,2,9,4,2,0,0
2,0,0,0,1,1,1,30,15,0,4,0,4,9,1,2,0,0
3,0,0,0,1,2,2,25,11,0,5,0,3,9,5,5,0,0
4,0,1,0,4,3,3,70,2,0,4,0,1,1,5,5,0,0
3,0,0,0,4,2,1,55,18,0,5,0,4,3,8,2,0,0
2,0,0,0,4,4,4,25,2,1,5,0,5,3,5,5,0,0
4,0,0,0,3,1,1,55,16,0,5,0,3,1,8,2,0,0
6,0,0,0,3,4,1,55,17,0,4,0,4,1,10,2,0,0
1,0,0,0,1,4,3,55,16,0,5,0,5,3,5,5,0,0
4,0,0,0,1,2,1,35,8,0,5,0,2,9,9,1,0,0
2,0,0,0,1,2,1,30,11,0,5,0,4,9,5,1,0,0
4,0,0,0,4,4,6,55,3,0,5,0,4,1,10,5,0,0
3,0,0,0,1,2,1,25,9,0,5,0,7,9,8,1,0,0
4,0,0,0,4,1,4,70,6,0,4,0,5,1,1,2,0,0
3,0,0,0,4,6,4,55,20,0,5,0,5,3,1,5,0,0
4,0,1,0,3,2,4,35,17,0,5,0,5,9,5,1,0,0
3,0,0,0,1,2,1,25,14,0,2,0,6,9,1,1,0,0
3,0,0,0,4,2,1,55,17,0,5,0,4,1,5,1,0,0
3,0,0,0,5,2,1,55,7,0,4,0,5,9,5,2,0,0
4,0,0,0,4,1,1,35,1,0,3,0,1,9,5,1,1,0
3,0,1,0,1,2,3,55,15,0,3,0,5,3,1,5,0,0
4,0,0,0,4,1,4,55,6,0,5,0,4,1,1,5,0,0
3,0,0,0,4,3,1,55,7,0,4,0,2,1,5,2,0,0
6,0,0,0,1,1,1,25,17,0,5,0,5,9,97,1,0,0
3,0,1,0,1,2,2,55,10,0,4,0,5,3,5,2,0,0
2,0,0,0,1,4,2,35,15,0,5,0,5,9,7,1,0,0
1,0,0,0,4,1,4,30,12,1,4,0,7,9,8,5,0,0
2,0,0,0,1,1,3,25,14,1,5,0,7,9,8,1,0,0
2,0,0,0,4,2,4,30,23,0,5,0,7,3,5,5,0,0
3,0,1,0,1,3,1,55,10,0,5,0,2,3,5,2,0,0
3,0,1,0,1,2,1,55,8,0,5,0,4,1,5,2,0,0
3,0,1,0,1,4,3,55,11,0,5,0,5,1,4,5,0,0
4,0,0,0,1,2,1,35,9,1,5,0,2,9,9,1,0,0
3,0,1,0,1,2,2,30,16,0,5,0,6,9,8,2,0,0
3,0,1,0,4,1,2,55,22,0,5,0,5,1,1,5,0,0
3,0,0,0,1,1,1,55,15,0,4,0,6,1,1,1,0,0
4,0,0,0,1,3,2,35,7,0,3,0,3,3,4,1,0,0
3,0,0,0,4,1,1,70,18,0,5,0,4,1,1,2,0,0
5,0,0,0,1,1,6,30,16,1,5,0,4,9,8,2,0,0
3,0,0,0,1,2,3,70,8,0,5,0,5,1,5,2,0,0
3,0,1,0,1,5,1,55,16,0,4,0,6,1,5,2,0,0
2,0,0,0,4,2,2,25,1,0,5,0,2,9,10,2,0,0
2,0,0,0,4,0,2,35,11,1,5,0,5,9,2,1,0,0
2,0,0,0,1,1,4,25,15,1,5,0,5,9,4,2,0,0
2,0,1,0,0,5,0,0,17,0,5,0,3,9,10,5,0,0
3,0,0,0,0,5,0,55,17,0,4,0,3,1,0,0,0,0
3,0,1,0,1,1,1,55,11,0,5,0,2,3,1,2,0,0
3,0,0,0,1,1,4,55,9,0,5,0,6,1,1,2,0,0
2,0,0,0,3,0,4,25,5,0,5,0,6,9,4,1,0,0
4,0,0,0,1,1,3,70,12,0,5,0,2,1,1,5,0,0
3,0,1,0,1,1,2,55,8,0,5,0,7,3,1,2,0,0
3,0,0,0,1,2,1,55,16,0,4,0,4,1,10,2,0,0
3,0,1,0,4,2,1,55,6,0,3,0,1,3,2,1,0,0
1,0,0,0,1,1,4,25,15,0,5,0,4,3,1,5,0,0
6,0,0,0,1,2,6,25,16,1,5,1,3,3,4,1,0,0
3,0,0,0,4,2,2,55,19,0,5,0,2,1,5,1,0,0
4,0,0,0,1,2,6,70,12,1,5,0,2,1,8,2,0,0
4,0,0,0,4,2,4,40,17,0,5,0,4,3,9,1,0,0
4,0,1,0,4,2,3,55,3,0,5,0,5,3,1,2,0,0
3,0,1,0,1,1,2,55,15,0,4,0,1,3,1,2,0,0
3,0,0,0,1,1,4,25,14,1,5,0,7,1,4,1,0,0
2,0,0,0,1,2,3,35,16,0,5,0,2,9,4,1,0,0
5,0,0,0,1,2,2,35,15,0,5,0,4,3,5,2,0,0
4,0,1,0,1,2,4,55,9,0,5,0,5,3,5,1,0,0
3,0,1,0,4,4,1,55,20,0,4,0,7,3,5,2,0,0
3,0,0,0,4,1,2,25,3,0,5,0,7,9,1,4,0,0
2,0,0,0,4,2,3,30,16,0,5,0,5,9,4,2,0,0
